"区分","計","計_男","計_女","Ａ　大学等進学者_計","Ａ　大学等進学者_計_通信を除く","Ａ　大学等進学者_男","Ａ　大学等進学者_男_通信を除く","Ａ　大学等進学者_女","Ａ　大学等進学者_女_通信を除く","　Ｂ　専修学校　　（専門課程）　　進学者_計","　Ｂ　専修学校　　（専門課程）　　進学者_男","　Ｂ　専修学校　　（専門課程）　　進学者_女","　Ｃ　専修学校　　（一般課程）　　等入学者_計","　Ｃ　専修学校　　（一般課程）　　等入学者_男","　Ｃ　専修学校　　（一般課程）　　等入学者_女","　Ｄ　公共職業能　　力開発施設等　　入学者_計","　Ｄ　公共職業能　　力開発施設等　　入学者_男","　Ｄ　公共職業能　　力開発施設等　　入学者_女","Ｅ　就職者（左記Ａ～Ｄを除く）_計","Ｅ　就職者（左記Ａ～Ｄを除く）_男","Ｅ　就職者（左記Ａ～Ｄを除く）_女","Ｆ　左記以外の者_計","Ｆ　左記以外の者_男","Ｆ　左記以外の者_女","Ｇ　死亡･不詳の者_計","Ｇ　死亡･不詳の者_男","Ｇ　死亡･不詳の者_女","左記Ａのうち他県への進学者（再掲）","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_計","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_男","左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）_女","高等学校等進学率（％）_計","高等学校等進学率（％）_男","高等学校等進学率（％）_女","専修学校（高等課程）進学率（％）_計","専修学校（高等課程）進学率（％）_男","専修学校（高等課程）進学率（％）_女","卒業者に占める就職者の割合（％）_計","卒業者に占める就職者の割合（％）_男","卒業者に占める就職者の割合（％）_女"
"広島","26710.0","13679.0","13031.0","26282.0","25658.0","13422.0","13095.0","12860.0","12563.0","93.0","38.0","55.0","27.0","12.0","15.0","7.0","6.0","1.0","115.0","89.0","26.0","186.0","112.0","74.0","0.0","0.0","0.0","989.0","6.0","3.0","3.0","98.3976038936728","98.1212076906207","98.6877446090093","0.348184200673905","0.277798084655311","0.422070447394674","0.453013852489704","0.672563783902332","0.22254623589901"
"山口","12817.0","6615.0","6202.0","12572.0","12437.0","6450.0","6375.0","6122.0","6062.0","26.0","11.0","15.0","15.0","7.0","8.0","7.0","7.0","0.0","85.0","77.0","8.0","112.0","63.0","49.0","0.0","0.0","0.0","321.0","2.0","2.0","0.0","98.0884762424905","97.5056689342404","98.71009351822","0.202855582429586","0.166288737717309","0.241857465333763","0.678785987360537","1.19425547996977","0.128990648178007"
"徳島","6928.0","3557.0","3371.0","6842.0","6791.0","3500.0","3468.0","3342.0","3323.0","29.0","12.0","17.0","4.0","2.0","2.0","9.0","9.0","0.0","18.0","16.0","2.0","26.0","18.0","8.0","0.0","0.0","0.0","139.0","2.0","0.0","2.0","98.7586605080831","98.3975260050605","99.1397211509938","0.418591224018476","0.337362946303064","0.504301394245031","0.288683602771363","0.449817261737419","0.118659151587066"
"香川","9563.0","4867.0","4696.0","9362.0","9193.0","4735.0","4640.0","4627.0","4553.0","5.0","4.0","1.0","5.0","3.0","2.0","4.0","4.0","0.0","83.0","55.0","28.0","102.0","64.0","38.0","2.0","2.0","0.0","212.0","1.0","0.0","1.0","97.8981491163861","97.2878569960962","98.53066439523","0.0522848478510928","0.0821861516334498","0.0212947189097104","0.878385443898358","1.13005958495993","0.617546848381601"
"愛媛","12485.0","6348.0","6137.0","12258.0","12125.0","6209.0","6146.0","6049.0","5979.0","10.0","6.0","4.0","7.0","3.0","4.0","0.0","0.0","0.0","101.0","70.0","31.0","105.0","58.0","47.0","4.0","2.0","2.0","159.0","5.0","4.0","1.0","98.1818181818182","97.8103339634531","98.5660746292977","0.0800961153384061","0.0945179584120983","0.0651784259410135","0.849018822587105","1.16572148708255","0.521427407528108"
"高知","6658.0","3465.0","3193.0","6529.0","6446.0","3359.0","3314.0","3170.0","3132.0","28.0","19.0","9.0","13.0","12.0","1.0","7.0","7.0","0.0","30.0","29.0","1.0","51.0","39.0","12.0","0.0","0.0","0.0","104.0","1.0","1.0","0.0","98.0624812255933","96.9408369408369","99.2796742875039","0.420546710723941","0.548340548340548","0.281866583150642","0.465605286872935","0.865800865800866","0.0313185092389602"
"福岡","46993.0","24067.0","22926.0","45941.0","45309.0","23419.0","23116.0","22522.0","22193.0","209.0","110.0","99.0","65.0","32.0","33.0","52.0","46.0","6.0","218.0","177.0","41.0","495.0","275.0","220.0","13.0","8.0","5.0","1209.0","10.0","8.0","2.0","97.7613687144894","97.3075165163917","98.2378086015877","0.444747089992126","0.457057381476711","0.431824129808951","0.485178643627774","0.768687414301741","0.187559975573585"
"佐賀","8977.0","4641.0","4336.0","8759.0","8696.0","4503.0","4479.0","4256.0","4217.0","45.0","27.0","18.0","9.0","3.0","6.0","14.0","14.0","0.0","31.0","30.0","1.0","119.0","64.0","55.0","0.0","0.0","0.0","508.0","10.0","9.0","1.0","97.5715717945862","97.0265029088559","98.1549815498155","0.501281051576251","0.581771170006464","0.415129151291513","0.456722735880584","0.840336134453782","0.0461254612546125"
"長崎","14010.0","7113.0","6897.0","13872.0","13774.0","7019.0","6974.0","6853.0","6800.0","9.0","8.0","1.0","6.0","4.0","2.0","17.0","17.0","0.0","42.0","31.0","11.0","56.0","29.0","27.0","8.0","5.0","3.0","330.0","1.0","1.0","0.0","99.0149892933619","98.6784760298046","99.3620414673046","0.0642398286937901","0.112470125123014","0.0144990575612585","0.306923625981442","0.449880500492057","0.159489633173844"
"熊本","17275.0","8811.0","8464.0","17122.0","16926.0","8713.0","8608.0","8409.0","8318.0","20.0","16.0","4.0","4.0","0.0","4.0","14.0","14.0","0.0","44.0","32.0","12.0","71.0","36.0","35.0","0.0","0.0","0.0","621.0","7.0","5.0","2.0","99.1143270622287","98.8877539439337","99.3501890359168","0.115774240231548","0.181591192827148","0.0472589792060491","0.295224312590449","0.41992963341278","0.165406427221172"
"大分","10743.0","5475.0","5268.0","10596.0","10515.0","5372.0","5336.0","5224.0","5179.0","2.0","1.0","1.0","6.0","5.0","1.0","3.0","3.0","0.0","52.0","45.0","7.0","82.0","48.0","34.0","2.0","1.0","1.0","197.0","8.0","8.0","0.0","98.631667132086","98.1187214611872","99.16476841306","0.0186167737131155","0.0182648401826484","0.0189825360668185","0.558503211393465","0.968036529680365","0.13287775246773"
"宮崎","10899.0","5574.0","5325.0","10678.0","10589.0","5407.0","5363.0","5271.0","5226.0","26.0","12.0","14.0","8.0","6.0","2.0","26.0","25.0","1.0","66.0","58.0","8.0","94.0","65.0","29.0","1.0","1.0","0.0","181.0","5.0","4.0","1.0","97.9722910358748","97.0039468963043","98.9859154929577","0.238553995779429","0.215285252960172","0.262910798122066","0.651435911551519","1.11230714029422","0.169014084507042"
"鹿児島","15974.0","8115.0","7859.0","15787.0","15574.0","7989.0","7890.0","7798.0","7684.0","5.0","3.0","2.0","8.0","2.0","6.0","8.0","7.0","1.0","62.0","53.0","9.0","104.0","61.0","43.0","0.0","0.0","0.0","337.0","8.0","7.0","1.0","98.8293476899963","98.4473197781885","99.2238198244051","0.0313008639038437","0.0369685767097967","0.0254485303473724","0.438212094653813","0.739371534195934","0.127242651736862"
"沖縄","16774.0","8635.0","8139.0","16174.0","16009.0","8245.0","8170.0","7929.0","7839.0","34.0","13.0","21.0","13.0","6.0","7.0","6.0","5.0","1.0","125.0","98.0","27.0","420.0","268.0","152.0","2.0","0.0","2.0","212.0","2.0","1.0","1.0","96.4230356504114","95.4834973943254","97.4198304460007","0.20269464647669","0.150550086855819","0.258016955399926","0.757124120662931","1.14649681528662","0.344022607199902"
